title,author,year,abstract
Records of the American School of Classical Studies at Athens,Broneer O.,1949,
Archives in colleges and universities: Some comments on data collected by the society's committee on college and university archives,Wilson D.,1950,
The zionist central archives,,1950,
The problem of modern archives,Genicot L.,1950,
Remarks on contemporary archives,Doehaerd R.,1950,
"The ministerial collecting center near Kassel, Germany",Born L.,1950,
Archives of the International Labour Office,Dubourg G.,1950,
The identification and description of the record series,Munden K.,1950,
The ecole des chartes,Quynn D.,1950,
The development of record systems,Chatfield H.,1950,
New developments in record containers,Kimberly A.,1950,
Archives of the United Church of Canada,Kyte E.,1950,
The papers of the presidents,Rowland B.,1950,
The maintenance of microfilm files,Noll D.,1950,
Some reference problems of picture collections,Baumhofer H.,1950,
"The first conference of archivists, December 1909: The beginnings of a profession",Leland W.,1950,
"Cartographic and related records: What are they, how have they been produced and what are problems of their administration?",Friis H.R.,1950,
The public records of Canada: Recent developments in control and management,Halliday W.,1950,
The local records program in New York State,Crocker H.,1950,
The national library as the national records depository for Wales,Jones E.,1950,
History and program of the Mississippi State Department of Archives and History,McCain W.,1950,
Manuscript collections in the Bancroft Library,Hammond G.P.,1950,
The records of the democratic and republican national committees,McCoy D.R.,1951,
Comprehensive historical indexing: The Virginia gazette index,Neiman S.,1951,
Church archives in the United States,Sweet W.W.,1951,
Archivists and bibliographical control: A librarian's viewpoint,Clapp V.,1951,
Some suggestions for national archives cooperation with the state archives,McCain W.,1951,
The business records survey in Wisconsin,Thomson R.,1951,
Areas of cooperation between the national archives and state archives,Holmes O.,1951,
Pioneering in manuscript seminars,Anderson R.,1951,
Report of ad hoc committee on manuscripts set up by the American historical association in December 1948,,1951,
Documentary research methods applied to historic sites and buildings,Porter C.,1951,
Adventures in business records: The vanishing archives,Wik R.,1951,
Archives of causes and movements: Difficulties and some solutions as illustrated by the Swarthmore college peace collection,Brinton E.,1951,
The American Catholic archival tradition,Browne H.,1951,
The American University's first institute in genealogical research,Colket M.,1951,
The genesis of Cornell University's collection of regional history,Fox E.,1951,
Creation of records: The program of Colonial Williamsburg,Priest E.,1951,
The Paris depository for notarial archives,Rice H.,1951,
Philadelphia records and a program for administration,Amelia T.,1951,
Recent developments in federal archival activities,Grover W.,1951,
Archivists and their colleagues: Common denominators,Brooks P.,1951,
The publication program of the Maryland historical society,Shelley F.,1952,
The University archivist and the thesis problem,Horn A.,1952,
The state archives of Colorado,Renze D.,1952,
A history of the diplomatic archives of Belgium,Thomas D.,1952,
Additional Kaskaskia manuscripts,Caldwell N.W.,1952,
A tar heel archivist and his problems,Burton W.,1952,
The public archives of Greece,Topping P.,1952,
The archival profession and the society of American Archivists,Cappon L.,1952,
International cooperation to preserve historical source materials,Born L.,1952,
Lyman C. Draper and Early American Archives,Harper J.,1952,
The appraisal of older business records,Lovett R.,1952,
The archives of South Carolina,Easterby J.,1952,
Archival developments in the Lutheran Churches in the United States,Deutrich M.,1952,
The ford motor company archives,Edmunds H.,1952,
Subject file manuals: The why and how of their development,Beach T.,1952,
The Nitid Crimson,Mearns D.,1952,
The american archivist: The voice of a profession,Trever K.,1952,
General schedules and federal records,Perlman I.,1952,
Retention and disposal of correspondence files,Hall S.,1952,
"Advice on records, 1794",Marx F.M.,1952,
Motion pictures become federal records,Baumhofer H.,1952,
The exhibition of manuscripts at the Minnesota Historical Society,Kane L.,1952,
Describable item cataloging,East S.,1953,
Municipal archives and records center of the city of New York,Horn J.,1953,
The firestone archives and library,Overman W.D.,1953,
The indexing of historical materials,Jillson W.,1953,
The bibliography of a defeat: The search for records on the loss of the Philippines,Morton L.,1953,
The french departmental archives and the fulbright microfilm project,Dowd D.,1953,
The record copying program of the Utah genealogical society,Bennett A.F.,1953,
An appeal for archives in institutions of higher learning1,Browne H.,1953,
How can the archivist aid the researcher?,Parker W.,1953,
The library of parliament fire,Hamilton R.,1953,
The Michigan records program,Beal V.,1953,
Developments in the handling of recent manuscripts in the Library of Congress,Brand K.,1953,
Collecting policies of the Minnesota historical society: 1849-1952,Kane L.,1953,
The archives of Hawaii,Horn J.,1953,
Binding and related problems,Tribolet H.,1953,
Library fires and salvage methods,Still J.,1953,
Federal records management since the hoover commission report,Angel H.,1953,
The development of an archival program in Minnesota,Brown R.,1953,
The value of records,McCain W.,1953,
Recent archival developments in Georgia,Bryan M.,1953,
"R. D. W. Connor, first archivist of the United States",Leland W.,1953,
Preservation of southern historical documents,Clark T.,1953,
French archives in Indochina,Cohen E.,1954,
Manuscript repositories and the National register,Peckham H.H.,1954,
Reports of state archivists,Radoff M.,1954,
Some reflections on business archives in the United States,Holmes O.,1954,
Ancient archival depository in Peking,Hummel A.W.,1954,
"A manuscripts collecting venture in the middle west: Indiana, 1950-1953",Martin T.,1954,
Historians and the National register,Wiley B.I.,1954,
Seventh day adventist archives,Horn J.,1954,
Raiding labor records,Browne H.,1954,
The archives of réunion: A workshop opened for historical research,Pérotin Y.,1954,
The national union catalog of manuscript collections,Land R.,1954,
Exhibition catalogs,Sanborn H.J.,1954,
A case study in evaluating sources for local History,Kellar H.,1954,
Washington research opportunities in the period of World War II,Epstein F.,1954,
The national archives at age 20,Grover W.,1954,
Personal documentation in the cold war,Munden K.,1954,
"The archives of the historical division, USAF",Kennedy M.,1954,
World War II and its background: Research materials at the Franklin D. Roosevelt library and policies concerning their use,Kahn H.,1954,
Archival research in the United States: A South African's mission,Moolman H.,1954,
Pacific telephone's records management program,Topham W.,1954,
"Richard Bartlett, Minor archival prophet",Wood R.,1954,
Have you looked at your pictures lately?,Breckenridge J.,1954,
The archives of labor,Lewinson P.,1954,
New lamps for old in history,Nevins A.,1954,
Provincial archives in Canada,Thomas L.,1955,
"Recruitment, training, and promotion in the National Archives",Bauer G.,1955,
Use of cataloging techniques in work with records and manuscripts,Martin D.,1955,
Archives of Uganda,English P.,1955,
The National archives after 20 years,Bahmer R.,1955,
"The records section: Space, location, and layout",Surgen O.,1955,
The national archives and the archival theorist,Posner E.,1955,
Oral history can be worthwhile,Bornet V.,1955,
Lost and found,Shafer B.,1955,
Recent developments in municipal records,Ruddell R.,1955,
Resources and research in the Hoover institute and library,Rothwell C.E.,1955,
A new measure of things past,Bombard O.,1955,
Archival heritage meets modern records in Panama,Brooks P.,1955,
"The federal records center, St. Louis: Personnel files and Fiscal records",Alldredge E.,1955,
Planning a records management survey,Zitmore I.,1955,
The Harry S. Truman library,Lloyd D.,1955,
Records management in the bureau of corporations,Fishbein M.,1955,
The North Carolina record center,Crittenden C.,1955,
The place of the register in the manuscripts division of the library of Congress,Brand K.,1955,
The creation of the Franklin D. Roosevelt library: A personal narrative,Leland W.,1955,
Archives: Society and profession,Grover W.,1955,
The safekeeping of business records in Europe,Sabbe E.,1955,
Canada's new records centre,Willms A.M.,1956,
Cataloging rules in the departmental Records branch,Munden K.,1956,
The era of the woodruff file,Gondos V.,1956,
Film records management,Baumhofer H.,1956,
Aiding the scholar in using manuscript collections,Peckham H.H.,1956,
The archives of the French foreign Ministry: Opportunities for research in American history,Nasatir A.P.,1956,
A historian looks at archives and manuscripts,Johnston F.,1956,
The state archivist and the researcher,Crittenden C.,1956,
Building a records filing system for New York state schools,Crocker H.,1956,
John Franklin Jameson,Leland W.,1956,
Planning the Tennessee state library and archives building,Robison D.,1956,
Defense of archives against human foes,Land R.,1956,
Historical manuscripts as archives: Some definitions and their application,Cappon L.,1956,
The archivist's role in records management,Shiff R.,1956,
What should bind us together,Radoff M.,1956,
Applying American archival experience Abroad,Schellenberg T.,1956,
State labor agencies: Where are their records?,Lewinson P.,1956,
Archives of the allied high commission for Germany and connected tripartite agencies,,1956,
The case of the Clark papers,Bahmer R.,1956,
The Illinois records management survey,Norton M.,1956,
Recent state archival legislation,Bryan M.,1956,
Some changes in the handling of business records at Baker Library,Lovett R.,1956,
Growing pains of a records management program,Gregory B.,1956,
Legislative recording by the Tennessee Archives,Alderson W.,1956,
To repair or despair?,Turner R.,1957,
The Madison papers,Runge W.,1957,
The case against microfilming,McDonald J.,1957,
Tape-recorded interviewing: Some thoughts from California,Gilb C.L.,1957,
The New York state inventory project,Santen V.,1957,
Archival sampling,Lewinson P.,1957,
Editing the Henry Clay papers,Hopkins J.,1957,
Archives in East Germany,Gagliardo J.,1957,
The overseas record program of the department of state,Bourne F.,1957,
Developments in rapid-copying machines,Scott P.,1957,
Past and present Hungarian archival collections,Bako E.,1957,
The preservation of the state records in Poland,Wojcicka J.,1957,
Business records in libraries,Lovett R.,1957,
Facsimiles in a popular historical magazine,Hemphill W.,1957,
Popularizing history and documentary sources,Parton J.,1957,
Archives administration in the Soviet union,Epstein F.,1957,
The Illinois record management survey,Mitchell T.,1957,
"Archives of Yugoslavia, Czechoslovakia, and Bulgaria",Horecky P.,1957,
The New York state local record program,Crocker H.,1957,
Thoughts on oral history,White H.,1957,
"What, then, is the American archivist, this new man?",Posner E.,1957,
Some legal problems in preserving records for public use,Ford F.,1957,
Archives in New South Wales-the situation in 1956,MacMillan D.,1957,
Archives for tomorrow's historians,Caswell J.,1958,
The hoover commissions and federal recordkeeping,Krauskopf R.,1958,
Photographic archives,Thomas J.,1958,
Archival training in a record center,Alldredge E.,1958,
The taft commission and the government's record practices,Glenn B.,1958,
James Madison as an Archivist,Stewart K.,1958,
Hand lamination with Cellulose Acetate,Kathpalia Y.,1958,
Property rights and business records,Lovett R.,1958,
Search for efficiency in federal record management: Introduction,Glenn B.,1958,
The Philadelphia program,Hughes C.,1958,
The problem of literary property in archival depositories,Connor S.V.,1958,
"Investigations of federal record-keeping, 1887-1906",Pinkett H.,1958,
The future of microfilming,Taubes E.,1958,
Trends of organization in state archives,Bryan M.,1958,
Tardy scholars among the archivists,Cappon L.,1958,
Archives of Newfoundland,Mitchell H.,1958,
Antiquarianism and documents in the age of literary history,Callcott G.H.,1958,
Australian experience in record and archives management,Maclean I.,1959,
"The forest service, trail Blazer in recordkeeping methods",Pinkett H.,1959,
Microfilming of German records in the National Archives,Perman D.,1959,
Archives of the archdiocese of Boston,Rahill P.,1959,
The deterioration of book paper in library use,Lewis H.F.,1959,
Archival good works for theologians,Cappon L.,1959,
Wyoming State Archives and Historical Department,Homsher L.,1959,
Some archival legislation of the British commonwealth,Burke E.,1959,
Use of local archives in the study of local history,Miller D.E.,1959,
The preservation of government publications,Lewinson P.,1959,
These precious monuments of our history,Boyd J.,1959,
Archival services of state libraries,Robison D.,1959,
The relation between archivists and record managers,Darling R.,1959,
The archival function in the states,Bahmer R.,1959,
The California State Archives,Davis W.,1959,
Records essential to continuity of state and local government,Munden K.,1959,
The pendulum swings,Overman W.D.,1959,
The case for microfilming,Weis M.,1959,
The future of the archival profession,Schellenberg T.,1959,
The cataloging of microfilm,Hale R.,1959,
State microfilming programs,Taylor D.K.,1959,
Archival backgrounds in New South Wales,Horton A.,1959,
The arrangement and description of manuscripts,Berner R.C.,1960,
Maximum records management,Garrison R.,1960,
University Archives in the Boston area,MacDermot A.,1960,
The corporate secretary looks at records management,Case F.,1960,
The archive wars in Texas,Winfrey D.,1960,
The national register of archives,Van Kersen L.,1960,
Solon Justus buck-archivist,Posner E.,1960,
The national union catalog of manuscript collections: Progress,Born L.,1960,
The archives of the State of Hawaii,Wray E.,1960,
Solon Justus buck-scholar-administrator,Blegen T.C.,1960,
The state archivist - 3-D public servant,Renze D.,1960,
Toward accessioning standards - Research records,Lewinson P.,1960,
Court records - Orphans among archives,Weinberg A.,1960,
The challenge of medical records,Jordan P.D.,1960,
Legal materials as sources of history,Connor S.V.,1960,
Municipal archival programs,Mitchell T.,1960,
Managing the records of the world's greatest city,Katsaros J.,1960,
The role of the archivist in the civil war centennial,Wiley B.I.,1960,
How to transfer the governor's papers,Radoff M.,1960,
"""Public records"" - Who knows what they are?",Holmes O.,1960,
The American Jewish archives,Marcus J.,1960,
The undergraduate and historical manuscripts,Gotlieb H.,1960,
The manuscripts of social welfare,Bornet V.,1960,
Archivists and records managers - A partnership,DePuy L.,1960,
"The small, limited, or specialized church archives",Varieur P.,1961,
"The Moravian archives at Bethlehem, Pennsylvania",Hamilton K.,1961,
The Baptist Sunday School Board and its records,Menkus B.,1961,
A manual for church archivists,Gingerich M.,1961,
American Church Archives - An overview,Deutrich M.,1961,
The struggle of church archives for respectability,Suelflow A.,1961,
The records of the Moravian mission in Labrador,Whiteley W.H.,1961,
Catholic archives and manuscript collections,McAvoy T.T.,1961,
Protestant Episcopal Church archives,Winfrey D.,1961,
Methodist archives in the United States,,1961,
New-type storage for records,Denny J.,1961,
The state of records management,Mitchell T.,1961,
Dead figures? No-live facts!,Langelier R.,1961,
Pioneering in the control of medical-clinical case records,Lake V.,1961,
Identification of business records for permanent preservation,Johnson A.M.,1961,
Professional training in industrial records management,Barcan A.,1961,
The United Nations correspondence classification manual,Core O.,1961,
Museum artifacts in company archives,Sinclair B.,1961,
Income-tax records as sources for economic history,Lambert R.,1961,
Exploiting the business records collection,Gibb G.,1961,
A tentative survey of business archives,Davidson H.,1961,
Information retrieval,Wilds T.,1961,
Acquisition in industrial archives,Barrett J.,1961,
Trends in county records management,Johnson E.,1961,
Bostonians and their neighbors as pack rats,Butterfield L.H.,1961,
The dating of documents,Chatfield H.L.,1961,
In my father's house are many mansions,Whitehill W.,1961,
What are archives?,Leavitt A.,1961,
Manuscripts of science-analysis and description,Reingold N.,1961,
The fourth international congress of archivists,Posner E.,1961,
Archival principles of arrangement,Schellenberg T.,1961,
A significant order on record management,Ahluwalia M.,1961,
North Carolina's local records program,Jones H.,1961,
"The German Foreign Ministry's Archives at Whaddon Hall, 1948-58",Kent G.O.,1961,
Changing times,Bryan M.,1961,
Surveying for archives buildings,Eddy H.H.,1961,
Conflicts in collecting,Duniway D.,1961,
"Recordkeeping in the northwest Territory, 1796",Buck E.,1962,
The presidential papers program of the library of Congress,Shelley F.,1962,
Policy and administrative records of the veterans administration,Cain R.,1962,
The Adams papers,Mugridge D.,1962,
Presidential libraries - One researcher's point of view,Kirkendall R.S.,1962,
Private records seized by the United States in wartime - Their legal status,Glenn B.,1962,
Public papers of the presidents,Reid W.,1962,
Early records of the U. S. Department of Agriculture,Pinkett H.,1962,
"Packing, labeling, and shelving at the National Archives",Rieger M.,1962,
Documents - Their repair and preservation,Bishop E.,1962,
"Harris, Lewis, and the Hollow tree",Rhoads J.,1962,
Preparing a manuscripts guide for a learned society,Smith M.,1962,
Reference service in the Indiana state archives,Pierson M.,1962,
A new method of indexing manuscripts,Ingerman E.,1962,
The archives of gascony under English rule,Cuttino G.P.,1962,
The care of motion picture film,Decker F.W.,1962,
Reference service in the Indiana state archives,Pierson M.,1962,
A county official looks at a state-supervised county records program,McMahon J.,1962,
Moses Robinson - Town clerk,Wood R.,1962,
Screening the papers of Baltimore's Mayors,Poole C.,1962,
New England town meeting,Labaree B.,1962,
Problems in administering local records,Hughes C.,1962,
The presence of the past,Adams W.,1962,
Colorado's county tecords - The syncretic approach,Renze D.,1962,
Are town records a casualty of the modern era?,Crocker H.,1962,
Early town records of New England as historical sources,Leach D.,1962,
Maryland's county records - The eclectic approach,Skordas G.,1962,
Publication program of the Philadelphia archives,Weinberg A.,1962,
The importance of photocopy projects for local and regional history,Eckles R.B.,1962,
"Round table on archives-Warsaw, 1961",Posner E.,1962,
Labor union records in the United States,Lewinson P.,1962,
Authentic documents tending to elucidate our history,Hamer P.M.,1962,
The Harry S. Truman library - Plans and reality,Brooks P.C.,1962,
History that lives again-archives in the U.S.S.R.,Belov G.,1963,
The archivist and weather records,Collier C.,1963,
"The archivist and ""Ancient documents"" as evidence",King C.,1963,
Documenting the lincoln museum collection,Allen J.,1963,
The papers of the viscounts melville,Welke W.,1963,
The repair of documents - American beginnings,Gear J.,1963,
The archives of Bulgaria,Chokel B.,1963,
The literary estate of lorado taft,Iben I.,1963,
The archives of Dakota Territory,Rose M.,1963,
Objectives of the society of American Archivists,Newsome A.,1963,
Iowa- The challenge of the archives,Petersen W.J.,1963,
Kentucky - The archives and records service,Hinds C.,1963,
Ohio - Disposition of medical records in state mental hospitals,Gill J.,1963,
Nebraska - The records management prospect,White J.,1963,
The state archivist and the amateur researcher,Richards K.W.,1963,
"The state archivist and the academic researcher - ""Stable companionship""",Evans F.,1963,
Michigan - The G. Mennen Williams papers,Bordin R.B.,1963,
Kansas - The administration of the public records,Richmond R.,1963,
Puerto Rico - The documents administration program,Morales L.,1963,
State archival agencies' services to other state agencies,Patterson A.,1963,
Missouri - A coordinated records program needed,Cutcliffe B.,1963,
Minnesota - The state archives and records service reconsidered,Brown R.,1963,
The U.S. Army's seizure and administration of enemy records up to World War II,Brower P.,1963,
The Belgian archives and the Van De Weyer papers,Laurent P.H.,1963,
College and University Archives: 1962,Mason P.,1963,
A brave man-or a foolish one,Munroe J.,1963,
The Queensland state archives,Sharman R.C.,1963,
The anatomy of industrial records,Eckert L.,1963,
The Stevens Mill records - Triumph over chaos,Edwards N.,1963,
The exhibit of documents,Leisinger A.,1963,
Georgia colonial wills,Bryan M.,1963,
The first permanent building of the Nigerian National Archives,Gwam L.,1963,
Suggestions for organization and description of archival holdings of local historical societies,Gordon R.,1963,
Western historical manuscripts collection - A case study of a collecting program,Atherton L.E.,1963,
The Civil War Centennial - Archival aspects,Robertson J.,1963,
To serve the inquiring scholar - The search for the titchener papers,Buchanan J.,1963,
Aeronautical history - Some offbeat British Archives,Higham R.,1963,
The management of archival institutions,Bahmer R.,1963,
Archival buildings - Programing and planning,Gondos V.,1964,
New Jersey's new archival facilities,Richards K.,1964,
